id,target,acquirer,order_total_spent,credit_card_type,credit_card_company,model_score_category
166518,1,acquirer_A,246,DEBIT,company_2,intermediate_score
132508,1,acquirer_B,198,CREDIT,company_1,intermediate_score
137852,0,acquirer_A,49,DEBIT,company_2,low_score
255871,1,acquirer_A,139,CREDIT,company_2,intermediate_score
229889,1,acquirer_A,111,DEBIT,company_1,intermediate_score
154420,1,acquirer_A,166,DEBIT,company_1,high_score
286629,1,acquirer_B,164,DEBIT,company_2,low_score
101084,1,acquirer_A,77,DEBIT,company_1,high_score
175777,1,acquirer_B,177,DEBIT,company_1,intermediate_score
288049,1,acquirer_A,100,DEBIT,company_1,intermediate_score
258525,1,acquirer_A,35,DEBIT,company_1,intermediate_score
166795,1,acquirer_A,253,CREDIT,company_2,intermediate_score
149073,1,acquirer_A,125,DEBIT,company_2,intermediate_score
214627,1,acquirer_A,104,CREDIT,company_2,high_score
290812,1,acquirer_A,90,CREDIT,company_2,high_score
239658,1,acquirer_A,99,CREDIT,company_1,intermediate_score
216497,1,acquirer_B,85,CREDIT,company_2,high_score
260929,1,acquirer_B,87,CREDIT,company_2,high_score
271395,1,acquirer_A,163,DEBIT,company_1,high_score
168790,1,acquirer_A,110,DEBIT,company_1,high_score
296788,0,acquirer_A,106,CREDIT,company_2,low_score
147616,0,acquirer_A,106,CREDIT,company_2,low_score
257814,1,acquirer_A,264,CREDIT,company_1,intermediate_score
269156,1,acquirer_A,86,CREDIT,company_1,intermediate_score
216421,1,acquirer_A,91,CREDIT,company_1,high_score
128568,1,acquirer_A,166,DEBIT,company_1,low_score
225131,1,acquirer_A,136,CREDIT,company_2,intermediate_score
151075,1,acquirer_A,118,CREDIT,company_1,intermediate_score
229179,1,acquirer_A,136,CREDIT,company_1,high_score
141872,0,acquirer_A,155,CREDIT,company_1,intermediate_score
233495,1,acquirer_A,107,DEBIT,company_2,intermediate_score
135553,1,acquirer_A,256,DEBIT,company_2,high_score
145495,0,acquirer_B,151,CREDIT,company_1,low_score
188044,0,acquirer_A,103,CREDIT,company_2,high_score
250087,0,acquirer_A,103,CREDIT,company_2,high_score
100089,1,acquirer_A,103,CREDIT,company_2,high_score
284217,1,acquirer_B,106,CREDIT,company_1,intermediate_score
256892,1,acquirer_B,118,CREDIT,company_2,low_score
121832,1,acquirer_A,155,CREDIT,company_1,intermediate_score
109470,1,acquirer_A,165,DEBIT,company_2,intermediate_score
183052,1,acquirer_B,150,CREDIT,company_2,low_score
188447,1,acquirer_B,244,CREDIT,company_2,low_score
216854,1,acquirer_A,133,DEBIT,company_1,intermediate_score
270063,0,acquirer_A,62,DEBIT,company_2,low_score
138550,1,acquirer_B,93,DEBIT,company_2,high_score
223113,1,acquirer_A,237,DEBIT,company_1,low_score
195159,1,acquirer_A,96,CREDIT,company_1,intermediate_score
107640,1,acquirer_A,46,DEBIT,company_2,high_score
254359,1,acquirer_A,272,DEBIT,company_1,low_score
221803,1,acquirer_A,67,DEBIT,company_1,intermediate_score
117249,1,acquirer_B,171,CREDIT,company_1,intermediate_score
110965,0,acquirer_A,110,CREDIT,company_2,intermediate_score
199548,1,acquirer_A,193,CREDIT,company_1,intermediate_score
279826,1,acquirer_A,244,CREDIT,company_2,intermediate_score
152474,1,acquirer_A,78,DEBIT,company_2,intermediate_score
275757,1,acquirer_A,27,DEBIT,company_1,intermediate_score
122228,1,acquirer_A,150,DEBIT,company_1,intermediate_score
171234,1,acquirer_A,78,DEBIT,company_2,high_score
282200,1,acquirer_A,57,DEBIT,company_1,intermediate_score
235339,1,acquirer_A,130,CREDIT,company_1,high_score
210598,1,acquirer_B,145,DEBIT,company_2,intermediate_score
163761,1,acquirer_A,145,DEBIT,company_1,low_score
161180,1,acquirer_A,73,CREDIT,company_2,intermediate_score
192202,1,acquirer_B,168,DEBIT,company_2,intermediate_score
163383,0,acquirer_A,206,DEBIT,company_1,low_score
168975,0,acquirer_A,206,DEBIT,company_1,low_score
298249,1,acquirer_A,43,DEBIT,company_2,intermediate_score
284265,1,acquirer_A,137,DEBIT,company_1,high_score
279836,0,acquirer_A,68,CREDIT,company_1,high_score
194453,1,acquirer_A,151,CREDIT,company_2,intermediate_score
